,Polarity,Sentiment,Subjectiivity,Tweet,X,y,NaiveBayes,SVM,RandomForest,LogisticRegression
0,0.0,Neutral,0.0,no this is not what we voted for there is no shortage of stem workers don t propagate the h1b visa lie there is no shortage salaries would be skyrocketing if there were a shortage,"  (0, 2106)	0.2944385459224613
  (0, 1795)	0.8065480753564989
  (0, 1895)	0.23738467348694722
  (0, 2168)	0.1397463689293396
  (0, 569)	0.17429788444081465
  (0, 2102)	0.06583901428263873
  (0, 1171)	0.2706509596070837
  (0, 1721)	0.280961107130268",Neutral,Positive,Positive,Neutral,Positive
1,0.13636363636363635,Positive,0.4545454545454545,h1b visa time again time to call immigration attorney nelisse to ask about new i 129 fees h1b2017 h1b2018 h1battorney h1blawyer h1bvisa h1btransferpic twitter com a62phzblvy,"  (0, 2102)	0.07790710632617259
  (0, 1999)	0.4222510448821174
  (0, 1001)	0.14911956299522294
  (0, 182)	0.25008718842961475
  (0, 1343)	0.26903904355331876
  (0, 170)	0.2211879927876454
  (0, 1344)	0.2052745485130514
  (0, 10)	0.26903904355331876
  (0, 755)	0.25673717947792657
  (0, 888)	0.26903904355331876
  (0, 889)	0.26903904355331876
  (0, 890)	0.26903904355331876
  (0, 893)	0.2682293751902049
  (0, 898)	0.1573753885193594
  (0, 897)	0.26903904355331876
  (0, 2046)	0.14734366328980147
  (0, 374)	0.14547280424075287",Positive,Positive,Negative,Neutral,Negative
2,-0.30000000000000004,Negative,0.2,metoo veterans capitalhill claims recovery while non immigrant work visas h1b have forced you into debt and poverty save yourself h1b pic twitter com sulhgdktop,"  (0, 2046)	0.13894840748412307
  (0, 374)	0.13718414508091895
  (0, 1285)	0.3702837790376894
  (0, 2098)	0.36269231148776016
  (0, 359)	0.3361483192755763
  (0, 1351)	0.23272650074577958
  (0, 998)	0.23477875846399057
  (0, 2165)	0.15120743275662546
  (0, 2103)	0.09946360092051468
  (0, 793)	0.310991659889854
  (0, 487)	0.308588887819935
  (0, 1503)	0.3503158151319773
  (0, 1728)	0.3041087953352179
  (0, 1467)	0.1761724691047917",Negative,Neutral,Neutral,Neutral,Neutral
3,0.125,Positive,0.5,no way we need to use more of our us citizens no more h1b visas period,"  (0, 2103)	0.18151458710516935
  (0, 2135)	0.4452249059082258
  (0, 1339)	0.3384140566975115
  (0, 2081)	0.4703147837763719
  (0, 352)	0.4035623856083033
  (0, 1452)	0.5198505257668827",Positive,Positive,Positive,Positive,Positive
4,0.16,Positive,0.5399999999999999,infosys blames h1b visa denials for high employee attrition via,"  (0, 2102)	0.09732113070120141
  (0, 1046)	0.38772219732484625
  (0, 241)	0.49050410823813634
  (0, 513)	0.3754543955864742
  (0, 940)	0.2956200099615626
  (0, 636)	0.3948459376447062
  (0, 185)	0.46405312960127393",Positive,Positive,Positive,Positive,Positive
5,0.5,Positive,0.5,stephen moore u s needs more brainiac immigrants so let s boost h1b visas,"  (0, 2103)	0.13255845384161605
  (0, 1897)	0.4833721239338627
  (0, 1342)	0.3251437037662336
  (0, 253)	0.4934895255912952
  (0, 999)	0.2858216599762464
  (0, 1163)	0.3259905954544158
  (0, 247)	0.4599624077197389",Positive,Positive,Positive,Positive,Positive
6,0.0,Neutral,0.0,keep nominated pro h1b openborders if u want to lose in 2020 put americafirst and buyamericanhireamerican,"  (0, 1529)	0.47931368116661277
  (0, 2121)	0.27442213858641007
  (0, 1211)	0.4064933469765751
  (0, 32)	0.3184925998309335
  (0, 126)	0.42856926438362825
  (0, 280)	0.4945754676917995",Neutral,Neutral,Neutral,Neutral,Neutral
7,0.5,Positive,0.5,the u s needs more brainiac immigrants so let s boost h1b visas opinion,"  (0, 2103)	0.13190821219790042
